Date,SKU,Predicted_Demand
2025-08-09,SKU011,5.13
2025-08-09,SKU012,11.96
2025-08-09,SKU013,11.63
2025-08-09,SKU014,11.63
2025-08-09,SKU015,11.27
2025-08-09,SKU016,12.42
2025-08-09,SKU017,11.6
2025-08-09,SKU018,10.46
2025-08-09,SKU019,11.13
2025-08-09,SKU020,10.18
2025-08-09,SKU021,8.79
2025-08-09,SKU022,8.91
2025-08-09,SKU023,12.91
2025-08-09,SKU024,13.77
2025-08-09,SKU025,11.22
2025-08-09,SKU026,11.66
2025-08-09,SKU027,10.96
2025-08-09,SKU028,10.94
2025-08-09,SKU029,9.83
2025-08-09,SKU030,12.77
2025-08-09,SKU031,12.95
2025-08-09,SKU032,9.31
2025-08-09,SKU033,10.14
2025-08-09,SKU034,9.74
2025-08-09,SKU035,11.01
2025-08-09,SKU036,10.72
2025-08-09,SKU037,14.28
2025-08-09,SKU038,14.33
2025-08-09,SKU039,11.35
2025-08-09,SKU040,11.64
2025-08-09,SKU041,10.49
2025-08-09,SKU042,11.37
2025-08-09,SKU043,11.37
2025-08-09,SKU044,14.53
2025-08-09,SKU045,14.51
2025-08-09,SKU046,11.18
2025-08-09,SKU047,10.73
2025-08-09,SKU048,10.39
2025-08-09,SKU049,10.84
2025-08-09,SKU050,10.68
2025-08-10,SKU001,13.5
2025-08-10,SKU002,13.31
2025-08-10,SKU003,10.51
2025-08-10,SKU004,10.94
2025-08-10,SKU005,10.62
2025-08-10,SKU006,10.9
2025-08-10,SKU007,10.61
2025-08-10,SKU008,13.72
2025-08-10,SKU009,13.76
2025-08-10,SKU010,10.54
2025-08-10,SKU011,10.63
2025-08-10,SKU012,9.94
2025-08-10,SKU013,10.96
2025-08-10,SKU014,10.29
2025-08-10,SKU015,13.92
2025-08-10,SKU016,14.54
2025-08-10,SKU017,10.49
2025-08-10,SKU018,10.23
2025-08-10,SKU019,10.19
2025-08-10,SKU020,11.03
2025-08-10,SKU021,11.09
2025-08-10,SKU022,16.24
2025-08-10,SKU023,16.1
2025-08-10,SKU024,11.03
2025-08-10,SKU025,11.24
2025-08-10,SKU026,11.36
2025-08-10,SKU027,11.41
2025-08-10,SKU028,11.43
2025-08-10,SKU029,16.1
2025-08-10,SKU030,17.64
2025-08-10,SKU031,11.56
2025-08-10,SKU032,12.06
2025-08-10,SKU033,11.55
2025-08-10,SKU034,11.64
2025-08-10,SKU035,12.03
2025-08-10,SKU036,16.77
2025-08-10,SKU037,17.06
2025-08-10,SKU038,11.7
2025-08-10,SKU039,12.72
2025-08-10,SKU040,13.17
2025-08-10,SKU041,12.77
2025-08-10,SKU042,12.67
2025-08-10,SKU043,19.37
2025-08-10,SKU044,17.51
2025-08-10,SKU045,14.38
2025-08-10,SKU046,13.84
2025-08-10,SKU047,14.49
2025-08-10,SKU048,13.97
2025-08-10,SKU049,13.99
2025-08-10,SKU050,16.02
2025-08-11,SKU001,15.75
2025-08-11,SKU002,14.65
2025-08-11,SKU003,14.91
2025-08-11,SKU004,16.38
2025-08-11,SKU005,16.02
2025-08-11,SKU006,16.12
2025-08-11,SKU007,17.71
2025-08-11,SKU008,17.95
2025-08-11,SKU009,15.37
2025-08-11,SKU010,14.58
2025-08-11,SKU011,13.82
2025-08-11,SKU012,13.71
2025-08-11,SKU013,14.24
2025-08-11,SKU014,16.06
2025-08-11,SKU015,15.95
2025-08-11,SKU016,13.51
2025-08-11,SKU017,13.19
2025-08-11,SKU018,13.04
2025-08-11,SKU019,13.09
2025-08-11,SKU020,13.22
2025-08-11,SKU021,15.53
2025-08-11,SKU022,16.3
2025-08-11,SKU023,13.06
2025-08-11,SKU024,13.03
2025-08-11,SKU025,12.28
2025-08-11,SKU026,12.86
2025-08-11,SKU027,12.81
2025-08-11,SKU028,14.26
2025-08-11,SKU029,14.33
2025-08-11,SKU030,12.1
2025-08-11,SKU031,12.03
2025-08-11,SKU032,11.53
2025-08-11,SKU033,11.76
2025-08-11,SKU034,11.26
2025-08-11,SKU035,13.95
2025-08-11,SKU036,14.86
2025-08-11,SKU037,11.8
2025-08-11,SKU038,11.85
2025-08-11,SKU039,11.63
2025-08-11,SKU040,11.93
2025-08-11,SKU041,12.63
2025-08-11,SKU042,15.78
2025-08-11,SKU043,15.83
2025-08-11,SKU044,12.04
2025-08-11,SKU045,12.47
2025-08-11,SKU046,11.98
2025-08-11,SKU047,12.28
2025-08-11,SKU048,11.9
2025-08-11,SKU049,14.46
2025-08-11,SKU050,14.09
2025-08-12,SKU001,11.39
2025-08-12,SKU002,11.61
2025-08-12,SKU003,11.14
2025-08-12,SKU004,11.27
2025-08-12,SKU005,12.04
2025-08-12,SKU006,14.62
2025-08-12,SKU007,14.26
2025-08-12,SKU008,11.73
2025-08-12,SKU009,11.27
2025-08-12,SKU010,11.11
2025-08-12,SKU011,11.65
2025-08-12,SKU012,11.84
2025-08-12,SKU013,16.04
2025-08-12,SKU014,16.83
2025-08-12,SKU015,11.92
2025-08-12,SKU016,11.87
2025-08-12,SKU017,11.63
2025-08-12,SKU018,11.83
2025-08-12,SKU019,11.9
2025-08-12,SKU020,16.25
2025-08-12,SKU021,17.22
2025-08-12,SKU022,11.78
2025-08-12,SKU023,11.96
2025-08-12,SKU024,11.28
2025-08-12,SKU025,11.64
2025-08-12,SKU026,11.39
2025-08-12,SKU027,16.53
2025-08-12,SKU028,16.53
2025-08-12,SKU029,12.4
2025-08-12,SKU030,12.24
2025-08-12,SKU031,12.77
2025-08-12,SKU032,11.9
2025-08-12,SKU033,11.11
2025-08-12,SKU034,16.39
2025-08-12,SKU035,17.07
2025-08-12,SKU036,11.71
2025-08-12,SKU037,11.8
2025-08-12,SKU038,11.95
2025-08-12,SKU039,11.89
2025-08-12,SKU040,11.37
2025-08-12,SKU041,15.3
2025-08-12,SKU042,14.82
2025-08-12,SKU043,12.02
2025-08-12,SKU044,12.27
2025-08-12,SKU045,11.78
2025-08-12,SKU046,10.76
2025-08-12,SKU047,12.13
2025-08-12,SKU048,13.94
2025-08-12,SKU049,13.23
2025-08-12,SKU050,10.63
2025-08-13,SKU001,10.54
2025-08-13,SKU002,10.95
2025-08-13,SKU003,11.1
2025-08-13,SKU004,11.18
2025-08-13,SKU005,12.95
2025-08-13,SKU006,12.62
2025-08-13,SKU007,9.13
2025-08-13,SKU008,9.01
2025-08-13,SKU009,9.09
2025-08-13,SKU010,9.29
2025-08-13,SKU011,9.29
2025-08-13,SKU012,11.43
2025-08-13,SKU013,12.63
2025-08-13,SKU014,8.98
2025-08-13,SKU015,8.56
2025-08-13,SKU016,8.78
2025-08-13,SKU017,8.97
2025-08-13,SKU018,7.96
2025-08-13,SKU019,11.97
2025-08-13,SKU020,12.05
2025-08-13,SKU021,8.41
2025-08-13,SKU022,8.54
2025-08-13,SKU023,8.57
2025-08-13,SKU024,8.05
2025-08-13,SKU025,7.86
2025-08-13,SKU026,10.86
2025-08-13,SKU027,11.7
2025-08-13,SKU028,7.64
2025-08-13,SKU029,8.89
2025-08-13,SKU030,9.25
2025-08-13,SKU031,9.47
2025-08-13,SKU032,8.97
2025-08-13,SKU033,11.54
2025-08-13,SKU034,11.64
2025-08-13,SKU035,8.59
2025-08-13,SKU036,8.93
2025-08-13,SKU037,9.31
2025-08-13,SKU038,9.57
2025-08-13,SKU039,9.25
2025-08-13,SKU040,12.69
2025-08-13,SKU041,12.23
2025-08-13,SKU042,8.75
2025-08-13,SKU043,8.48
2025-08-13,SKU044,7.82
2025-08-13,SKU045,9.46
2025-08-13,SKU046,9.62
2025-08-13,SKU047,12.25
2025-08-13,SKU048,12.33
2025-08-13,SKU049,9.19
2025-08-13,SKU050,8.16
2025-08-14,SKU001,8.04
2025-08-14,SKU002,8.81
2025-08-14,SKU003,9.21
2025-08-14,SKU004,12.17
2025-08-14,SKU005,14.17
2025-08-14,SKU006,8.6
2025-08-14,SKU007,8.9
2025-08-14,SKU008,8.95
2025-08-14,SKU009,8.85
2025-08-14,SKU010,9.08
2025-08-14,SKU011,13.94
2025-08-14,SKU012,12.85
2025-08-14,SKU013,9.65
2025-08-14,SKU014,9.8
2025-08-14,SKU015,9.26
2025-08-14,SKU016,9.78
2025-08-14,SKU017,8.74
2025-08-14,SKU018,12.22
2025-08-14,SKU019,12.62
2025-08-14,SKU020,7.92
2025-08-14,SKU021,8.74
2025-08-14,SKU022,9.29
2025-08-14,SKU023,9.31
2025-08-14,SKU024,8.93
2025-08-14,SKU025,12.54
2025-08-14,SKU026,13.88
2025-08-14,SKU027,8.43
2025-08-14,SKU028,8.5
2025-08-14,SKU029,9.09
2025-08-14,SKU030,8.44
2025-08-14,SKU031,8.3
2025-08-14,SKU032,11.4
2025-08-14,SKU033,9.85
2025-08-14,SKU034,7.77
2025-08-14,SKU035,8.24
2025-08-14,SKU036,7.84
2025-08-14,SKU037,7.45
2025-08-14,SKU038,7.45
2025-08-14,SKU039,11.41
2025-08-14,SKU040,11.13
2025-08-14,SKU041,8.59
2025-08-14,SKU042,8.96
2025-08-14,SKU043,8.46
2025-08-14,SKU044,8.87
2025-08-14,SKU045,8.51
2025-08-14,SKU046,12.13
2025-08-14,SKU047,13.38
2025-08-14,SKU048,9.2
2025-08-14,SKU049,9.64
2025-08-14,SKU050,9.74
2025-08-15,SKU001,9.38
2025-08-15,SKU002,8.6
2025-08-15,SKU003,12.44
2025-08-15,SKU004,11.66
2025-08-15,SKU005,8.53
2025-08-15,SKU006,7.74
2025-08-15,SKU007,7.49
2025-08-15,SKU008,8.39
2025-08-15,SKU009,7.01
2025-08-15,SKU010,10.92
2025-08-15,SKU011,11.73
2025-08-15,SKU012,9.38
2025-08-15,SKU013,9.11
2025-08-15,SKU014,9.35
2025-08-15,SKU015,9.83
2025-08-15,SKU016,8.45
2025-08-15,SKU017,13.28
2025-08-15,SKU018,12.22
2025-08-15,SKU019,8.9
2025-08-15,SKU020,9.11
2025-08-15,SKU021,9.25
2025-08-15,SKU022,9.3
2025-08-15,SKU023,8.74
2025-08-15,SKU024,12.19
2025-08-15,SKU025,11.94
2025-08-15,SKU026,8.54
2025-08-15,SKU027,8.54
2025-08-15,SKU028,8.41
2025-08-15,SKU029,8.66
2025-08-15,SKU030,7.86
2025-08-15,SKU031,11.63
2025-08-15,SKU032,11.74
2025-08-15,SKU033,9.36
2025-08-15,SKU034,8.46
2025-08-15,SKU035,8.56
2025-08-15,SKU036,8.76
2025-08-15,SKU037,8.67
2025-08-15,SKU038,11.0
2025-08-15,SKU039,11.88
2025-08-15,SKU040,8.43
2025-08-15,SKU041,8.26
2025-08-15,SKU042,8.33
2025-08-15,SKU043,8.5
2025-08-15,SKU044,8.49
2025-08-15,SKU045,10.83
2025-08-15,SKU046,11.5
2025-08-15,SKU047,9.23
2025-08-15,SKU048,9.4
2025-08-15,SKU049,9.2
2025-08-15,SKU050,9.65
2025-08-16,SKU001,9.36
2025-08-16,SKU002,11.78
2025-08-16,SKU003,11.62
2025-08-16,SKU004,8.63
2025-08-16,SKU005,8.84
2025-08-16,SKU006,8.23
2025-08-16,SKU007,8.6
2025-08-16,SKU008,8.74
2025-08-16,SKU009,10.3
2025-08-16,SKU010,9.99
2025-08-16,SKU011,8.08
2025-08-16,SKU012,8.13
2025-08-16,SKU013,7.93
2025-08-16,SKU014,8.58
2025-08-16,SKU015,8.46
2025-08-16,SKU016,12.18
2025-08-16,SKU017,12.52
2025-08-16,SKU018,8.62
2025-08-16,SKU019,9.52
2025-08-16,SKU020,9.97
2025-08-16,SKU021,9.74
2025-08-16,SKU022,9.4
2025-08-16,SKU023,12.77
2025-08-16,SKU024,13.14
2025-08-16,SKU025,9.5
2025-08-16,SKU026,10.25
2025-08-16,SKU027,10.41
2025-08-16,SKU028,10.6
2025-08-16,SKU029,9.7
2025-08-16,SKU030,12.27
2025-08-16,SKU031,12.92
2025-08-16,SKU032,11.03
2025-08-16,SKU033,11.09
2025-08-16,SKU034,11.66
2025-08-16,SKU035,11.59
2025-08-16,SKU036,11.49
2025-08-16,SKU037,14.16
2025-08-16,SKU038,15.36
2025-08-16,SKU039,12.42
2025-08-16,SKU040,11.99
2025-08-16,SKU041,13.03
2025-08-16,SKU042,12.24
2025-08-16,SKU043,12.28
2025-08-16,SKU044,15.72
2025-08-16,SKU045,15.71
2025-08-16,SKU046,11.15
2025-08-16,SKU047,11.79
2025-08-16,SKU048,11.16
2025-08-16,SKU049,11.14
2025-08-16,SKU050,11.24
2025-08-17,SKU001,15.06
2025-08-17,SKU002,15.27
2025-08-17,SKU003,10.55
2025-08-17,SKU004,11.16
2025-08-17,SKU005,11.02
2025-08-17,SKU006,10.84
2025-08-17,SKU007,10.93
2025-08-17,SKU008,14.01
2025-08-17,SKU009,13.9
2025-08-17,SKU010,11.18
2025-08-17,SKU011,10.61
2025-08-17,SKU012,10.41
2025-08-17,SKU013,11.61
2025-08-17,SKU014,11.22
2025-08-17,SKU015,13.27
2025-08-17,SKU016,13.7
2025-08-17,SKU017,11.28
2025-08-17,SKU018,11.48
2025-08-17,SKU019,11.12
2025-08-17,SKU020,11.71
2025-08-17,SKU021,11.07
2025-08-17,SKU022,14.19
2025-08-17,SKU023,14.14
2025-08-17,SKU024,11.56
2025-08-17,SKU025,11.55
2025-08-17,SKU026,10.83
2025-08-17,SKU027,10.85
2025-08-17,SKU028,11.46
2025-08-17,SKU029,14.53
2025-08-17,SKU030,14.53
2025-08-17,SKU031,12.16
2025-08-17,SKU032,12.1
2025-08-17,SKU033,11.83
2025-08-17,SKU034,12.7
2025-08-17,SKU035,13.8
2025-08-17,SKU036,16.57
2025-08-17,SKU037,16.94
2025-08-17,SKU038,12.11
2025-08-17,SKU039,12.23
2025-08-17,SKU040,12.5
2025-08-17,SKU041,12.22
2025-08-17,SKU042,12.12
2025-08-17,SKU043,16.78
2025-08-17,SKU044,18.92
2025-08-17,SKU045,12.12
2025-08-17,SKU046,12.44
2025-08-17,SKU047,12.58
2025-08-17,SKU048,12.5
2025-08-17,SKU049,13.01
2025-08-17,SKU050,17.84
2025-08-18,SKU001,18.74
2025-08-18,SKU002,14.12
2025-08-18,SKU003,12.81
2025-08-18,SKU004,12.55
2025-08-18,SKU005,12.95
2025-08-18,SKU006,13.78
2025-08-18,SKU007,19.36
2025-08-18,SKU008,18.66
2025-08-18,SKU009,14.33
2025-08-18,SKU010,14.4
2025-08-18,SKU011,13.82
2025-08-18,SKU012,13.07
2025-08-18,SKU013,14.26
2025-08-18,SKU014,16.52
2025-08-18,SKU015,16.99
2025-08-18,SKU016,13.56
2025-08-18,SKU017,13.81
2025-08-18,SKU018,13.79
2025-08-18,SKU019,14.23
2025-08-18,SKU020,14.29
2025-08-18,SKU021,16.17
2025-08-18,SKU022,16.35
2025-08-18,SKU023,12.87
2025-08-18,SKU024,12.8
2025-08-18,SKU025,13.87
2025-08-18,SKU026,13.7
2025-08-18,SKU027,13.71
2025-08-18,SKU028,17.35
2025-08-18,SKU029,15.46
2025-08-18,SKU030,13.01
2025-08-18,SKU031,13.42
2025-08-18,SKU032,13.42
2025-08-18,SKU033,13.49
2025-08-18,SKU034,13.08
2025-08-18,SKU035,16.51
2025-08-18,SKU036,16.56
2025-08-18,SKU037,12.65
2025-08-18,SKU038,12.61
2025-08-18,SKU039,12.54
2025-08-18,SKU040,12.11
2025-08-18,SKU041,12.6
2025-08-18,SKU042,16.81
2025-08-18,SKU043,17.46
2025-08-18,SKU044,12.37
2025-08-18,SKU045,12.78
2025-08-18,SKU046,12.09
2025-08-18,SKU047,13.17
2025-08-18,SKU048,13.39
2025-08-18,SKU049,16.27
2025-08-18,SKU050,16.41
2025-08-19,SKU001,12.53
2025-08-19,SKU002,12.04
2025-08-19,SKU003,12.11
2025-08-19,SKU004,12.47
2025-08-19,SKU005,12.02
2025-08-19,SKU006,14.69
2025-08-19,SKU007,14.31
2025-08-19,SKU008,11.79
2025-08-19,SKU009,11.94
2025-08-19,SKU010,12.18
2025-08-19,SKU011,12.22
2025-08-19,SKU012,11.94
2025-08-19,SKU013,13.6
2025-08-19,SKU014,13.59
2025-08-19,SKU015,11.75
2025-08-19,SKU016,11.73
2025-08-19,SKU017,11.77
2025-08-19,SKU018,11.55
2025-08-19,SKU019,11.77
2025-08-19,SKU020,13.82
2025-08-19,SKU021,14.11
2025-08-19,SKU022,10.36
2025-08-19,SKU023,10.41
2025-08-19,SKU024,11.31
2025-08-19,SKU025,11.32
2025-08-19,SKU026,10.66
2025-08-19,SKU027,13.38
2025-08-19,SKU028,15.75
2025-08-19,SKU029,10.38
2025-08-19,SKU030,10.76
2025-08-19,SKU031,10.16
2025-08-19,SKU032,11.0
2025-08-19,SKU033,10.82
2025-08-19,SKU034,16.37
2025-08-19,SKU035,16.51
2025-08-19,SKU036,10.98
2025-08-19,SKU037,12.0
2025-08-19,SKU038,11.7
2025-08-19,SKU039,12.09
2025-08-19,SKU040,10.89
2025-08-19,SKU041,16.94
2025-08-19,SKU042,16.36
2025-08-19,SKU043,11.47
2025-08-19,SKU044,10.56
2025-08-19,SKU045,11.27
2025-08-19,SKU046,11.5
2025-08-19,SKU047,11.8
2025-08-19,SKU048,15.19
2025-08-19,SKU049,15.65
2025-08-19,SKU050,11.48
2025-08-20,SKU001,11.7
2025-08-20,SKU002,11.47
2025-08-20,SKU003,11.71
2025-08-20,SKU004,10.77
2025-08-20,SKU005,13.24
2025-08-20,SKU006,13.6
2025-08-20,SKU007,12.21
2025-08-20,SKU008,12.21
2025-08-20,SKU009,12.35
2025-08-20,SKU010,12.16
2025-08-20,SKU011,12.12
2025-08-20,SKU012,13.0
2025-08-20,SKU013,13.89
2025-08-20,SKU014,11.61
2025-08-20,SKU015,10.69
2025-08-20,SKU016,10.56
2025-08-20,SKU017,10.46
2025-08-20,SKU018,10.02
2025-08-20,SKU019,12.86
2025-08-20,SKU020,13.19
2025-08-20,SKU021,9.33
2025-08-20,SKU022,10.94
2025-08-20,SKU023,10.61
2025-08-20,SKU024,10.53
2025-08-20,SKU025,10.5
2025-08-20,SKU026,13.05
2025-08-20,SKU027,13.83
2025-08-20,SKU028,10.61
2025-08-20,SKU029,11.01
2025-08-20,SKU030,10.3
2025-08-20,SKU031,10.36
2025-08-20,SKU032,10.47
2025-08-20,SKU033,14.21
2025-08-20,SKU034,13.36
2025-08-20,SKU035,10.72
2025-08-20,SKU036,9.95
2025-08-20,SKU037,10.17
2025-08-20,SKU038,9.91
2025-08-20,SKU039,9.71
2025-08-20,SKU040,12.34
2025-08-20,SKU041,12.73
2025-08-20,SKU042,9.16
2025-08-20,SKU043,9.69
2025-08-20,SKU044,10.52
2025-08-20,SKU045,9.5
2025-08-20,SKU046,10.16
2025-08-20,SKU047,12.64
2025-08-20,SKU048,12.26
2025-08-20,SKU049,9.94
2025-08-20,SKU050,9.66
2025-08-21,SKU001,9.39
2025-08-21,SKU002,9.75
2025-08-21,SKU003,9.53
2025-08-21,SKU004,12.56
2025-08-21,SKU005,12.62
2025-08-21,SKU006,9.01
2025-08-21,SKU007,8.93
2025-08-21,SKU008,10.6
2025-08-21,SKU009,9.6
2025-08-21,SKU010,9.56
2025-08-21,SKU011,13.19
2025-08-21,SKU012,13.81
2025-08-21,SKU013,8.67
2025-08-21,SKU014,8.92
2025-08-21,SKU015,9.08
2025-08-21,SKU016,9.16
2025-08-21,SKU017,9.56
2025-08-21,SKU018,13.56
2025-08-21,SKU019,14.41
2025-08-21,SKU020,9.72
2025-08-21,SKU021,9.66
2025-08-21,SKU022,9.7
2025-08-21,SKU023,9.84
2025-08-21,SKU024,9.43
2025-08-21,SKU025,14.43
2025-08-21,SKU026,15.22
2025-08-21,SKU027,9.96
2025-08-21,SKU028,9.65
2025-08-21,SKU029,9.95
2025-08-21,SKU030,9.5
2025-08-21,SKU031,9.53
2025-08-21,SKU032,13.18
2025-08-21,SKU033,13.07
2025-08-21,SKU034,8.19
2025-08-21,SKU035,8.14
2025-08-21,SKU036,7.51
2025-08-21,SKU037,7.62
2025-08-21,SKU038,8.15
2025-08-21,SKU039,11.93
2025-08-21,SKU040,11.9
2025-08-21,SKU041,7.99
2025-08-21,SKU042,8.19
2025-08-21,SKU043,8.39
2025-08-21,SKU044,8.5
2025-08-21,SKU045,8.53
2025-08-21,SKU046,11.23
2025-08-21,SKU047,10.94
2025-08-21,SKU048,7.02
2025-08-21,SKU049,7.13
2025-08-21,SKU050,8.11
2025-08-22,SKU001,7.35
2025-08-22,SKU002,8.7
2025-08-22,SKU003,11.63
2025-08-22,SKU004,10.97
2025-08-22,SKU005,8.13
2025-08-22,SKU006,8.71
2025-08-22,SKU007,7.18
2025-08-22,SKU008,7.28
2025-08-22,SKU009,7.97
2025-08-22,SKU010,10.63
2025-08-22,SKU011,10.43
2025-08-22,SKU012,7.36
2025-08-22,SKU013,6.93
2025-08-22,SKU014,7.3
2025-08-22,SKU015,7.65
2025-08-22,SKU016,7.45
2025-08-22,SKU017,10.21
2025-08-22,SKU018,10.26
2025-08-22,SKU019,7.47
