Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value
2024-01-01,SKU001,16,23,11,7,18,58420.96
2024-01-01,SKU002,29,12,4,5,10,163983.4
2024-01-01,SKU003,34,23,14,6,20,209060.22
2024-01-01,SKU004,34,4,7,5,12,42257.92
2024-01-01,SKU005,23,5,5,6,11,170945.89
2024-01-01,SKU006,13,6,5,5,10,86143.2
2024-01-01,SKU007,12,2,3,7,10,54576.36
2024-01-01,SKU008,18,22,7,5,12,119954.52
2024-01-01,SKU009,13,14,12,5,17,38968.54
2024-01-01,SKU010,28,9,12,5,17,200807.32
2024-01-01,SKU011,5,3,3,5,10,19335.45
2024-01-01,SKU012,24,14,3,5,10,34697.76
2024-01-01,SKU013,5,19,4,6,10,38741.0
2024-01-01,SKU014,20,12,6,6,12,62421.2
2024-01-01,SKU015,23,20,6,5,11,28908.47
2024-01-01,SKU016,20,18,3,7,10,40171.0
2024-01-01,SKU017,28,11,7,5,12,187691.28
2024-01-01,SKU018,32,37,13,7,20,85466.88
2024-01-01,SKU019,7,32,12,5,17,22770.72
2024-01-01,SKU020,31,17,3,5,10,171719.54
2024-01-01,SKU021,26,17,4,5,10,7983.56
2024-01-01,SKU022,32,20,6,6,12,172882.88
2024-01-01,SKU023,29,8,5,5,10,110391.4
2024-01-01,SKU024,10,12,12,7,19,13334.3
2024-01-01,SKU025,34,10,12,7,19,132634.0
2024-01-01,SKU026,14,33,11,7,18,86502.36
2024-01-01,SKU027,25,1,11,5,16,114596.5
2024-01-01,SKU028,5,3,9,7,16,2444.2
2024-01-01,SKU029,5,17,13,5,18,17080.5
2024-01-01,SKU030,30,23,10,5,15,61890.9
2024-01-01,SKU031,22,17,4,5,10,55557.7
2024-01-01,SKU032,19,21,9,5,14,86773.0
2024-01-01,SKU033,10,17,4,5,10,33995.0
2024-01-01,SKU034,29,2,6,5,11,44777.16
2024-01-01,SKU035,23,18,5,5,10,134510.44
2024-01-01,SKU036,25,16,6,6,12,37496.5
2024-01-01,SKU037,32,1,4,5,10,180687.36
2024-01-01,SKU038,23,21,8,7,15,73666.93
2024-01-01,SKU039,17,25,14,6,20,51918.85
2024-01-01,SKU040,22,0,4,5,10,25620.1
2024-01-01,SKU041,23,8,9,5,14,130472.79
2024-01-01,SKU042,15,26,9,6,15,116416.8
2024-01-01,SKU043,17,2,13,5,18,63453.35
2024-01-01,SKU044,27,6,13,5,18,26919.81
2024-01-01,SKU045,16,6,3,7,10,29093.12
2024-01-01,SKU046,22,21,9,5,14,104256.9
