Date,SKU,Units_Sold,Revenue,Price,Promotion
2024-01-01,SKU001,5,18320.25,3664.05,0
2024-01-01,SKU002,15,57085.35,3805.69,0
2024-01-01,SKU003,5,40391.15,8078.23,0
2024-01-01,SKU004,5,34307.85,6861.57,0
2024-01-01,SKU005,12,113918.64,9493.22,0
2024-01-01,SKU006,7,56742.28,8106.04,0
2024-01-01,SKU007,27,138080.43,5114.09,0
2024-01-01,SKU008,14,137796.96,9842.64,0
2024-01-01,SKU009,9,21032.01,2336.89,0
2024-01-01,SKU010,20,13269.2,663.46,0
2024-01-01,SKU011,1,1444.56,1444.56,0
2024-01-01,SKU012,17,149249.29,8779.37,0
2024-01-01,SKU013,17,97882.26,5757.78,0
2024-01-01,SKU014,20,45415.0,2270.75,0
2024-01-01,SKU015,6,37272.72,6212.12,0
2024-01-01,SKU016,13,28168.66,2166.82,0
2024-01-01,SKU017,10,84773.2,8477.32,0
2024-01-01,SKU018,29,161686.89,5575.41,0
2024-01-01,SKU019,8,38558.8,4819.85,0
2024-01-01,SKU020,11,42872.94,3897.54,0
2024-01-01,SKU021,5,38556.4,7711.28,0
2024-01-01,SKU022,6,27582.18,4597.03,0
2024-01-01,SKU023,14,19834.36,1416.74,0
2024-01-01,SKU024,16,28301.92,1768.87,0
2024-01-01,SKU025,1,11558.01,11558.01,0
2024-01-01,SKU026,17,185972.18,10939.54,0
2024-01-01,SKU027,21,178848.6,8516.6,0
2024-01-01,SKU028,4,13936.36,3484.09,0
2024-01-01,SKU029,22,256133.9,11642.45,0
2024-01-01,SKU030,9,84901.59,9433.51,0
2024-01-01,SKU031,23,200466.39,8715.93,0
2024-01-01,SKU032,7,39288.13,5612.59,0
2024-01-01,SKU033,15,53370.0,3558.0,0
2024-01-01,SKU034,17,25808.38,1518.14,0
2024-01-01,SKU035,27,293495.13,10870.19,0
2024-01-01,SKU036,7,39809.0,5687.0,0
2024-01-01,SKU037,27,74180.34,2747.42,0
2024-01-01,SKU038,6,23694.6,3949.1,0
2024-01-01,SKU039,5,35594.75,7118.95,0
2024-01-01,SKU040,12,29406.72,2450.56,0
2024-01-01,SKU041,7,72357.11,10336.73,0
2024-01-01,SKU042,22,202374.26,9198.83,0
2024-01-01,SKU043,21,183661.17,8745.77,0
2024-01-01,SKU044,8,43298.24,5412.28,0
2024-01-01,SKU045,28,214949.84,7676.78,0
2024-01-01,SKU046,7,50228.78,7175.54,0
2024-01-01,SKU047,21,166702.62,7938.22,0
2024-01-01,SKU048,13,17934.15,1379.55,0
2024-01-01,SKU049,25,130584.25,5223.37,0
2024-01-01,SKU050,3,2648.16,882.72,0
2024-01-02,SKU001,13,47632.65,3664.05,0
2024-01-02,SKU002,12,45668.28,3805.69,0
2024-01-02,SKU003,3,24234.69,8078.23,0
2024-01-02,SKU004,4,27446.28,6861.57,0
2024-01-02,SKU005,17,161384.74,9493.22,0
2024-01-02,SKU006,8,64848.32,8106.04,0
2024-01-02,SKU007,19,97167.71,5114.09,0
2024-01-02,SKU008,15,147639.6,9842.64,0
2024-01-02,SKU009,10,23368.9,2336.89,0
2024-01-02,SKU010,18,11942.28,663.46,0
2024-01-02,SKU011,1,1444.56,1444.56,0
2024-01-02,SKU012,28,245822.36,8779.37,0
2024-01-02,SKU013,14,80608.92,5757.78,0
2024-01-02,SKU014,29,65851.75,2270.75,0
2024-01-02,SKU015,5,31060.6,6212.12,0
2024-01-02,SKU016,12,26001.84,2166.82,0
2024-01-02,SKU017,8,67818.56,8477.32,0
2024-01-02,SKU018,20,111508.2,5575.41,0
2024-01-02,SKU019,14,67477.9,4819.85,0
2024-01-02,SKU020,14,54565.56,3897.54,0
2024-01-02,SKU021,5,38556.4,7711.28,0
2024-01-02,SKU022,14,64358.42,4597.03,0
2024-01-02,SKU023,14,19834.36,1416.74,0
2024-01-02,SKU024,15,26533.05,1768.87,0
2024-01-02,SKU025,2,23116.02,11558.01,0
2024-01-02,SKU026,13,142214.02,10939.54,0
2024-01-02,SKU027,13,110715.8,8516.6,0
2024-01-02,SKU028,4,13936.36,3484.09,0
2024-01-02,SKU029,13,151351.85,11642.45,0
2024-01-02,SKU030,6,56601.06,9433.51,0
2024-01-02,SKU031,20,174318.6,8715.93,0
2024-01-02,SKU032,5,28062.95,5612.59,0
2024-01-02,SKU033,12,42696.0,3558.0,0
2024-01-02,SKU034,17,25808.38,1518.14,0
2024-01-02,SKU035,23,250014.37,10870.19,0
2024-01-02,SKU036,4,22748.0,5687.0,0
2024-01-02,SKU037,19,52200.98,2747.42,0
2024-01-02,SKU038,9,35541.9,3949.1,0
2024-01-02,SKU039,1,7118.95,7118.95,0
2024-01-02,SKU040,15,36758.4,2450.56,0
2024-01-02,SKU041,14,144714.22,10336.73,0
2024-01-02,SKU042,21,193175.43,9198.83,0
2024-01-02,SKU043,22,192406.94,8745.77,0
2024-01-02,SKU044,9,48710.52,5412.28,0
2024-01-02,SKU045,23,176565.94,7676.78,0
2024-01-02,SKU046,7,50228.78,7175.54,0
2024-01-02,SKU047,13,103196.86,7938.22,0
2024-01-02,SKU048,8,11036.4,1379.55,0
2024-01-02,SKU049,28,146254.36,5223.37,0
2024-01-02,SKU050,10,8827.2,882.72,0
2024-01-03,SKU001,12,43968.6,3664.05,0
2024-01-03,SKU002,11,41862.59,3805.69,0
2024-01-03,SKU003,3,24234.69,8078.23,0
2024-01-03,SKU004,6,41169.42,6861.57,0
2024-01-03,SKU005,17,161384.74,9493.22,0
2024-01-03,SKU006,4,32424.16,8106.04,0
2024-01-03,SKU007,26,132966.34,5114.09,0
2024-01-03,SKU008,14,137796.96,9842.64,0
2024-01-03,SKU009,10,23368.9,2336.89,0
2024-01-03,SKU010,17,11278.82,663.46,0
2024-01-03,SKU011,4,5778.24,1444.56,0
2024-01-03,SKU012,31,272160.47,8779.37,0
2024-01-03,SKU013,11,63335.58,5757.78,0
2024-01-03,SKU014,20,45415.0,2270.75,0
2024-01-03,SKU015,4,24848.48,6212.12,0
2024-01-03,SKU016,11,23835.02,2166.82,0
2024-01-03,SKU017,13,110205.16,8477.32,0
2024-01-03,SKU018,28,156111.48,5575.41,0
2024-01-03,SKU019,16,77117.6,4819.85,0
2024-01-03,SKU020,13,50668.02,3897.54,0
2024-01-03,SKU021,3,23133.84,7711.28,0
2024-01-03,SKU022,5,22985.15,4597.03,0
2024-01-03,SKU023,8,11333.92,1416.74,0
2024-01-03,SKU024,9,15919.83,1768.87,0
2024-01-03,SKU025,2,23116.02,11558.01,0
2024-01-03,SKU026,21,229730.34,10939.54,0
2024-01-03,SKU027,22,187365.2,8516.6,0
2024-01-03,SKU028,6,20904.54,3484.09,0
2024-01-03,SKU029,13,151351.85,11642.45,0
2024-01-03,SKU030,3,28300.53,9433.51,0
2024-01-03,SKU031,8,69727.44,8715.93,0
2024-01-03,SKU032,3,16837.77,5612.59,0
2024-01-03,SKU033,11,39138.0,3558.0,0
2024-01-03,SKU034,15,22772.1,1518.14,0
2024-01-03,SKU035,21,228273.99,10870.19,0
2024-01-03,SKU036,0,0.0,5687.0,0
2024-01-03,SKU037,29,79675.18,2747.42,0
2024-01-03,SKU038,10,39491.0,3949.1,0
2024-01-03,SKU039,3,21356.85,7118.95,0
2024-01-03,SKU040,13,31857.28,2450.56,0
2024-01-03,SKU041,13,134377.49,10336.73,0
2024-01-03,SKU042,24,220771.92,9198.83,0
2024-01-03,SKU043,27,236135.79,8745.77,0
2024-01-03,SKU044,6,32473.68,5412.28,0
2024-01-03,SKU045,25,191919.5,7676.78,0
2024-01-03,SKU046,10,71755.4,7175.54,0
2024-01-03,SKU047,15,119073.3,7938.22,0
2024-01-03,SKU048,12,16554.6,1379.55,0
2024-01-03,SKU049,28,146254.36,5223.37,0
2024-01-03,SKU050,5,4413.6,882.72,0
2024-01-04,SKU001,23,84273.15,3664.05,0
2024-01-04,SKU002,13,49473.97,3805.69,0
2024-01-04,SKU003,6,48469.38,8078.23,0
2024-01-04,SKU004,7,48030.99,6861.57,0
2024-01-04,SKU005,14,132905.08,9493.22,0
2024-01-04,SKU006,5,40530.2,8106.04,0
2024-01-04,SKU007,18,92053.62,5114.09,0
2024-01-04,SKU008,12,118111.68,9842.64,0
2024-01-04,SKU009,8,18695.12,2336.89,0
2024-01-04,SKU010,17,11278.82,663.46,0
2024-01-04,SKU011,1,1444.56,1444.56,0
2024-01-04,SKU012,21,184366.77,8779.37,0
2024-01-04,SKU013,21,120913.38,5757.78,0
2024-01-04,SKU014,14,31790.5,2270.75,0
