Date,SKU,Product_Name,Category,Subcategory,Predicted_Demand,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Lead_Time_Demand,Available_Inventory,Days_of_Inventory,Stock_Coverage_After_Order,Stockout_Gap,Stockout_Risk,Excess_Inventory,Overstock_Risk,Recommended_Stock_Level,Reorder_Quantity,Stock_Status,Action,Priority,Inventory_Health_Score,Health_Level
2025-08-09,SKU011,Product 011,Furniture,Chair,5.13,753,269,3,179,247,15.39,1022,146.78362573099415,199.22027290448344,-737.61,Low,558.61,High,194.39,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU012,Product 012,Home Decor,Table,11.96,47,60,12,16,58,143.52,107,3.9297658862876252,8.946488294314381,96.52000000000001,High,0.0,Low,159.52,53.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU013,Product 013,Kitchen,Cushion,11.63,151,95,4,32,61,46.52,246,12.983662940670678,21.152192605331038,-104.47999999999999,Low,72.47999999999999,Low,78.52000000000001,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU014,Product 014,Lighting,Cookware,11.63,309,334,10,130,299,116.30000000000001,643,26.569217540842647,55.28804815133276,-192.7,Low,62.69999999999999,Low,246.3,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU015,Product 015,Storage,Lamp,11.27,187,245,9,119,265,101.42999999999999,432,16.592724046140194,38.33185448092281,-85.57000000000001,Medium,0.0,Low,220.43,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-09,SKU016,Product 016,Furniture,Shelf,12.42,255,187,11,30,129,136.62,442,20.531400966183575,35.587761674718195,-118.38,Low,88.38,Medium,166.62,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-09,SKU017,Product 017,Home Decor,Cabinet,11.6,95,26,12,108,274,139.2,121,8.189655172413794,10.431034482758621,44.19999999999999,High,0.0,Low,247.2,126.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU018,Product 018,Kitchen,Rug,10.46,235,102,8,66,184,83.68,337,22.466539196940726,32.21797323135755,-151.32,Low,85.32,Medium,149.68,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-09,SKU019,Product 019,Lighting,Organizer,11.13,227,114,14,25,126,155.82000000000002,341,20.39532794249775,30.637915543575918,-71.17999999999998,Low,46.17999999999998,Low,180.82000000000002,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU020,Product 020,Storage,Sofa,10.18,1002,353,3,129,227,30.54,1355,98.42829076620825,133.1041257367387,-971.46,Low,842.46,High,159.54,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU021,Product 021,Furniture,Chair,8.79,88,97,9,36,88,79.10999999999999,185,10.011376564277588,21.046643913538112,-8.890000000000015,Medium,0.0,Low,115.10999999999999,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-09,SKU022,Product 022,Home Decor,Table,8.91,95,194,8,76,163,71.28,289,10.662177328843995,32.435465768799105,-23.72,Medium,0.0,Low,147.28,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-09,SKU023,Product 023,Kitchen,Cushion,12.91,130,79,12,41,148,154.92000000000002,209,10.069713400464757,16.18900077459334,24.920000000000016,High,0.0,Low,195.92000000000002,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU024,Product 024,Lighting,Cookware,13.77,341,18,14,60,259,192.78,359,24.76397966594045,26.071169208424113,-148.22,Low,88.22,Low,252.78,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU025,Product 025,Storage,Lamp,11.22,1124,61,14,121,582,157.08,1185,100.17825311942958,105.61497326203208,-966.92,Low,845.92,High,278.08000000000004,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU026,Product 026,Furniture,Shelf,11.66,160,70,5,31,59,58.3,230,13.722126929674099,19.725557461406517,-101.7,Low,70.7,Low,89.3,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU027,Product 027,Home Decor,Cabinet,10.96,567,103,3,83,133,32.88,670,51.73357664233576,61.131386861313864,-534.12,Low,451.12,High,115.88,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU028,Product 028,Kitchen,Rug,10.94,174,55,11,114,337,120.33999999999999,229,15.90493601462523,20.93235831809872,-53.66000000000001,Medium,0.0,Low,234.33999999999997,5.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-09,SKU029,Product 029,Lighting,Organizer,9.83,261,520,5,196,329,49.15,781,26.551373346897254,79.45066124109867,-211.85,Low,15.849999999999994,Low,245.15,0.0,Reorder Required,Reorder,Medium,100,Healthy
2025-08-09,SKU030,Product 030,Storage,Sofa,12.77,166,32,9,43,104,114.92999999999999,198,12.999216914643696,15.505090054815975,-51.07000000000001,Low,8.070000000000007,Low,157.93,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU031,Product 031,Furniture,Chair,12.95,93,40,13,28,113,168.35,133,7.181467181467182,10.27027027027027,75.35,High,0.0,Low,196.35,63.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU032,Product 032,Home Decor,Table,9.31,278,214,11,60,185,102.41000000000001,492,29.86036519871106,52.846401718582165,-175.58999999999997,Low,115.58999999999997,Medium,162.41000000000003,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-09,SKU033,Product 033,Kitchen,Cushion,10.14,208,168,12,55,183,121.68,376,20.51282051282051,37.08086785009862,-86.32,Low,31.319999999999993,Low,176.68,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU034,Product 034,Lighting,Cookware,9.74,34,103,5,34,58,48.7,137,3.490759753593429,14.06570841889117,14.700000000000003,High,0.0,Low,82.7,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU035,Product 035,Storage,Lamp,11.01,670,76,8,137,304,88.08,746,60.85376930063579,67.75658492279746,-581.92,Low,444.91999999999996,High,225.07999999999998,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU036,Product 036,Furniture,Shelf,10.72,383,135,3,77,129,32.160000000000004,518,35.72761194029851,48.32089552238806,-350.84,Low,273.84,High,109.16,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU037,Product 037,Home Decor,Cabinet,14.28,355,687,8,315,644,114.24,1042,24.859943977591037,72.96918767507003,-240.76,Medium,0.0,Low,429.24,0.0,Reorder Required,Plan Reorder,High,80,Healthy
2025-08-09,SKU038,Product 038,Kitchen,Rug,14.33,159,310,12,56,175,171.96,469,11.095603628750872,32.72854152128402,12.960000000000008,High,0.0,Low,227.96,0.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU039,Product 039,Lighting,Organizer,11.35,93,35,3,17,31,34.05,128,8.193832599118943,11.277533039647578,-58.95,Low,41.95,Low,51.05,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU040,Product 040,Storage,Sofa,11.64,67,29,9,36,93,104.76,96,5.756013745704467,8.24742268041237,37.760000000000005,High,0.0,Low,140.76,45.0,Reorder Required,Urgent Reorder,Critical,50,At Risk
2025-08-09,SKU041,Product 041,Furniture,Chair,10.49,440,40,4,78,139,41.96,480,41.94470924690181,45.7578646329838,-398.04,Low,320.04,High,119.96000000000001,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU042,Product 042,Home Decor,Table,11.37,90,120,6,41,88,68.22,210,7.9155672823219,18.469656992084435,-21.78,Medium,0.0,Low,109.22,0.0,Sufficient Stock,Plan Reorder,High,80,Healthy
2025-08-09,SKU043,Product 043,Kitchen,Cushion,11.37,559,211,12,142,393,136.44,770,49.16446789797713,67.72207563764293,-422.56,Low,280.56,High,278.44,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU044,Product 044,Lighting,Cookware,14.53,223,39,5,55,93,72.64999999999999,262,15.34755677907777,18.031658637302133,-150.35000000000002,Low,95.35000000000002,Low,127.64999999999999,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU045,Product 045,Storage,Lamp,14.51,307,142,4,88,142,58.04,449,21.157822191592007,30.944176430048245,-248.96,Low,160.96,Medium,146.04,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-09,SKU046,Product 046,Furniture,Shelf,11.18,119,182,4,46,96,44.72,301,10.644007155635062,26.923076923076923,-74.28,Low,28.28,Low,90.72,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU047,Product 047,Home Decor,Cabinet,10.73,201,129,9,44,99,96.57000000000001,330,18.73252562907735,30.75489282385834,-104.42999999999999,Low,60.42999999999999,Low,140.57,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU048,Product 048,Kitchen,Rug,10.39,106,50,3,22,31,31.17,156,10.202117420596727,15.014436958614052,-74.83,Low,52.83,Low,53.17,0.0,Sufficient Stock,No Action,Low,100,Healthy
2025-08-09,SKU049,Product 049,Lighting,Organizer,10.84,780,599,5,206,344,54.2,1379,71.95571955719558,127.2140221402214,-725.8,Low,519.8,High,260.2,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-09,SKU050,Product 050,Storage,Sofa,10.68,328,525,14,69,316,149.51999999999998,853,30.711610486891388,79.86891385767791,-178.48000000000002,Low,109.48000000000002,Medium,218.51999999999998,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU001,Product 001,Furniture,Chair,13.5,771,147,4,159,289,54.0,918,57.111111111111114,68.0,-717.0,Low,558.0,High,213.0,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU002,Product 002,Home Decor,Table,13.31,526,29,3,94,149,39.93,555,39.51915852742299,41.697971450037564,-486.07,Low,392.07,High,133.93,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU003,Product 003,Kitchen,Cushion,10.51,349,12,3,88,123,31.53,361,33.206470028544246,34.34823977164605,-317.47,Low,229.47000000000003,High,119.53,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU004,Product 004,Lighting,Cookware,10.94,259,254,6,98,196,65.64,513,23.6745886654479,46.892138939670936,-193.36,Low,95.36000000000001,Medium,163.64,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU005,Product 005,Storage,Lamp,10.62,471,291,6,129,245,63.72,762,44.35028248587571,71.75141242937853,-407.28,Low,278.28,High,192.72,0.0,Sufficient Stock,Do Not Reorder - Excess Stock,High,70,Watch
2025-08-10,SKU006,Product 006,Furniture,Shelf,10.9,359,485,13,129,340,141.70000000000002,844,32.93577981651376,77.43119266055045,-217.29999999999998,Low,88.29999999999998,Medium,270.70000000000005,0.0,Sufficient Stock,No Action,Low,85,Healthy
2025-08-10,SKU007,Product 007,Home Decor,Cabinet,10.61,207,460,8,98,237,84.88,667,19.50989632422243,62.86522148916117,-122.12,Low,24.120000000000005,Low,182.88,0.0,Reorder Required,Reorder,Medium,100,Healthy
